| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 21 | 销售平台 | 同花顺 |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 22 | 解约时间 | 后端签约可在交易时间解约。同花顺APP-券商服务-中信建投策略宝-尾盘掘金-订单管理-退订 |


智投策略宝要素表

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 1 | 产品名称 | 智投策略宝（同花顺平台） |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 2 | 产品代码 | ZT0044 |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 3 | 产品类型 | 智能决策工具-服务包 |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 4 | 产品简介 | 《智投策略宝》是一款服务包，包含盘中宝、北上资金策略、尾盘掘金3款产品。2款AI选股工具+1款内参资讯，让您决策更智慧。 |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 5 | 风格标签 | 【量化选股】【主题投资】【事件驱动】【中短结合】 |


| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 6 | 产品亮点 | AI深掘历史数据，智能配置因子权重，全程自动化决策，每个季度根据表现不断迭代策略； |
| |              | | 价值19775元的产品，可开通不收费，先体验后付费，不满意随时解约； |
| |              | | 产品使用人数超15万人，更多投资者选择用AI决策工具辅助投资。 |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 7 | 如何正确应用 | 使用方法：产品的核心用法就是帮助我们有效的挖掘短中期投资机会。在指数上涨或交投活跃期间，可参考尾盘掘金、北上资金策略及盘中宝等精选内容，精准把握投资机会。而面对行情不佳或交投低迷之时，则宜采取保守策略，减少操作频率，静待行情回暖。 |
| |              | | 查看方式：同花顺APP-决策-券商精选-【智投策略宝】查看消息及相关个股。 |
| |              | | 注意事项：产品核心算法是AI机器学习，取整体最优解，非个体最优解。所以并非每只个股都盈利，因此切勿重仓单一个股，需分散仓位。 |

| 智投策略宝要素表——点金投精简版，2款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 8 | 目标客户画像 | 【没有投资体系的新手】、【喜欢做热点或主题投资的老手】、【专注投资研究或基本面研究的投资者】 |


